     series id       , year , period , value 
 LASST110000000000003 ,2019,  M01   ,5.8
 LASST110000000000003 ,2018,  M01   ,5.8
 LASST110000000000003 ,2017,  M01   ,6
 LASST110000000000003 ,2016,  M01   ,6.4
 LASST110000000000003 ,2015,  M01   ,7.4
 LASST110000000000003 ,2014,  M01   ,8
 LASST110000000000003 ,2013,  M01   ,8.7
 LASST110000000000003 ,2012,  M01   ,9.8
 LASST110000000000003 ,2011,  M01   ,9.6
 LASST110000000000003 ,2010,  M01   ,9.8
 LASST120000000000003 ,2019,  M01   ,3.4
 LASST120000000000003 ,2018,  M01   ,3.9
 LASST120000000000003 ,2017,  M01   ,4.6
 LASST120000000000003 ,2016,  M01   ,5
 LASST120000000000003 ,2015,  M01   ,5.8
 LASST120000000000003 ,2014,  M01   ,6.6
 LASST120000000000003 ,2013,  M01   ,7.9
 LASST120000000000003 ,2012,  M01   ,8.9
 LASST120000000000003 ,2011,  M01   ,10.7
 LASST120000000000003 ,2010,  M01   ,11.3
 LASST130000000000003 ,2019,  M01   ,3.8
 LASST130000000000003 ,2018,  M01   ,4.2
 LASST130000000000003 ,2017,  M01   ,5.2
 LASST130000000000003 ,2016,  M01   ,5.5
 LASST130000000000003 ,2015,  M01   ,6.4
 LASST130000000000003 ,2014,  M01   ,7.5
 LASST130000000000003 ,2013,  M01   ,8.7
 LASST130000000000003 ,2012,  M01   ,9.7
 LASST130000000000003 ,2011,  M01   ,10.5
 LASST130000000000003 ,2010,  M01   ,10.5
 LASST150000000000003 ,2019,  M01   ,2.8
 LASST150000000000003 ,2018,  M01   ,2.3
 LASST150000000000003 ,2017,  M01   ,2.7
 LASST150000000000003 ,2016,  M01   ,3.1
 LASST150000000000003 ,2015,  M01   ,4
 LASST150000000000003 ,2014,  M01   ,4.7
 LASST150000000000003 ,2013,  M01   ,5.1
 LASST150000000000003 ,2012,  M01   ,6.7
 LASST150000000000003 ,2011,  M01   ,6.8
 LASST150000000000003 ,2010,  M01   ,7.1
 LASST160000000000003 ,2019,  M01   ,2.9
 LASST160000000000003 ,2018,  M01   ,3
 LASST160000000000003 ,2017,  M01   ,3.5
 LASST160000000000003 ,2016,  M01   ,4
 LASST160000000000003 ,2015,  M01   ,4.2
 LASST160000000000003 ,2014,  M01   ,5.3
 LASST160000000000003 ,2013,  M01   ,6.7
 LASST160000000000003 ,2012,  M01   ,7.7
 LASST160000000000003 ,2011,  M01   ,8.7
 LASST160000000000003 ,2010,  M01   ,9.2
 LASST170000000000003 ,2019,  M01   ,4.4
 LASST170000000000003 ,2018,  M01   ,4.5
 LASST170000000000003 ,2017,  M01   ,5.3
 LASST170000000000003 ,2016,  M01   ,6.1
 LASST170000000000003 ,2015,  M01   ,6
 LASST170000000000003 ,2014,  M01   ,8.3
 LASST170000000000003 ,2013,  M01   ,9.2
 LASST170000000000003 ,2012,  M01   ,9.1
 LASST170000000000003 ,2011,  M01   ,9.4
 LASST170000000000003 ,2010,  M01   ,11.3
 LASST180000000000003 ,2019,  M01   ,3.6
 LASST180000000000003 ,2018,  M01   ,3.3
 LASST180000000000003 ,2017,  M01   ,3.9
 LASST180000000000003 ,2016,  M01   ,4.7
 LASST180000000000003 ,2015,  M01   ,5.4
 LASST180000000000003 ,2014,  M01   ,6.4
 LASST180000000000003 ,2013,  M01   ,8.5
 LASST180000000000003 ,2012,  M01   ,8.6
 LASST180000000000003 ,2011,  M01   ,9.2
 LASST180000000000003 ,2010,  M01   ,11
 LASST190000000000003 ,2019,  M01   ,2.7
 LASST190000000000003 ,2018,  M01   ,2.8
 LASST190000000000003 ,2017,  M01   ,3.4
 LASST190000000000003 ,2016,  M01   ,3.7
 LASST190000000000003 ,2015,  M01   ,3.9
 LASST190000000000003 ,2014,  M01   ,4.4
 LASST190000000000003 ,2013,  M01   ,4.9
 LASST190000000000003 ,2012,  M01   ,5.2
 LASST190000000000003 ,2011,  M01   ,5.7
 LASST190000000000003 ,2010,  M01   ,6.4
 LASST200000000000003 ,2019,  M01   ,3.3
 LASST200000000000003 ,2018,  M01   ,3.4
 LASST200000000000003 ,2017,  M01   ,3.9
 LASST200000000000003 ,2016,  M01   ,3.9
 LASST200000000000003 ,2015,  M01   ,4.3
 LASST200000000000003 ,2014,  M01   ,4.8
 LASST200000000000003 ,2013,  M01   ,5.6
 LASST200000000000003 ,2012,  M01   ,6
 LASST200000000000003 ,2011,  M01   ,6.9
 LASST200000000000003 ,2010,  M01   ,7.2
 LASST210000000000003 ,2019,  M01   ,4.2
 LASST210000000000003 ,2018,  M01   ,4.3
 LASST210000000000003 ,2017,  M01   ,5.2
 LASST210000000000003 ,2016,  M01   ,5.3
 LASST210000000000003 ,2015,  M01   ,5.4
 LASST210000000000003 ,2014,  M01   ,7.5
 LASST210000000000003 ,2013,  M01   ,8.1
 LASST210000000000003 ,2012,  M01   ,8.4
 LASST210000000000003 ,2011,  M01   ,9.8
 LASST210000000000003 ,2010,  M01   ,10.6
 LASST220000000000003 ,2019,  M01   ,4.7
 LASST220000000000003 ,2018,  M01   ,4.7
 LASST220000000000003 ,2017,  M01   ,5.8
 LASST220000000000003 ,2016,  M01   ,6.1
 LASST220000000000003 ,2015,  M01   ,6.9
 LASST220000000000003 ,2014,  M01   ,5.7
 LASST220000000000003 ,2013,  M01   ,7
 LASST220000000000003 ,2012,  M01   ,7.5
 LASST220000000000003 ,2011,  M01   ,8.3
 LASST220000000000003 ,2010,  M01   ,7.4
 LASST230000000000003 ,2019,  M01   ,3.2
 LASST230000000000003 ,2018,  M01   ,3.1
 LASST230000000000003 ,2017,  M01   ,3.6
 LASST230000000000003 ,2016,  M01   ,3.9
 LASST230000000000003 ,2015,  M01   ,5
 LASST230000000000003 ,2014,  M01   ,6.1
 LASST230000000000003 ,2013,  M01   ,7.1
 LASST230000000000003 ,2012,  M01   ,7.7
 LASST230000000000003 ,2011,  M01   ,8.1
 LASST230000000000003 ,2010,  M01   ,8.2
 LASST240000000000003 ,2019,  M01   ,3.8
 LASST240000000000003 ,2018,  M01   ,4.2
 LASST240000000000003 ,2017,  M01   ,4.3
 LASST240000000000003 ,2016,  M01   ,4.6
 LASST240000000000003 ,2015,  M01   ,5.4
 LASST240000000000003 ,2014,  M01   ,6.1
 LASST240000000000003 ,2013,  M01   ,6.9
 LASST240000000000003 ,2012,  M01   ,7
 LASST240000000000003 ,2011,  M01   ,7.4
 LASST240000000000003 ,2010,  M01   ,7.8
 LASST250000000000003 ,2019,  M01   ,3.1
 LASST250000000000003 ,2018,  M01   ,3.6
 LASST250000000000003 ,2017,  M01   ,3.8
 LASST250000000000003 ,2016,  M01   ,4.3
 LASST250000000000003 ,2015,  M01   ,5.1
 LASST250000000000003 ,2014,  M01   ,6.2
 LASST250000000000003 ,2013,  M01   ,6.8
 LASST250000000000003 ,2012,  M01   ,6.7
 LASST250000000000003 ,2011,  M01   ,7.8
 LASST250000000000003 ,2010,  M01   ,8.8
 LASST260000000000003 ,2019,  M01   ,4.2
 LASST260000000000003 ,2018,  M01   ,4.5
 LASST260000000000003 ,2017,  M01   ,4.9
 LASST260000000000003 ,2016,  M01   ,4.9
 LASST260000000000003 ,2015,  M01   ,6
 LASST260000000000003 ,2014,  M01   ,8.1
 LASST260000000000003 ,2013,  M01   ,9.1
 LASST260000000000003 ,2012,  M01   ,9.2
 LASST260000000000003 ,2011,  M01   ,11
 LASST260000000000003 ,2010,  M01   ,13.9
 LASST270000000000003 ,2019,  M01   ,3.2
 LASST270000000000003 ,2018,  M01   ,3
 LASST270000000000003 ,2017,  M01   ,3.8
 LASST270000000000003 ,2016,  M01   ,3.7
 LASST270000000000003 ,2015,  M01   ,3.8
 LASST270000000000003 ,2014,  M01   ,4.6
 LASST270000000000003 ,2013,  M01   ,5.3
 LASST270000000000003 ,2012,  M01   ,5.8
 LASST270000000000003 ,2011,  M01   ,6.9
 LASST270000000000003 ,2010,  M01   ,7.7
 LASST280000000000003 ,2019,  M01   ,5.1
 LASST280000000000003 ,2018,  M01   ,4.9
 LASST280000000000003 ,2017,  M01   ,5.4
 LASST280000000000003 ,2016,  M01   ,6.1
 LASST280000000000003 ,2015,  M01   ,6.7
 LASST280000000000003 ,2014,  M01   ,8
 LASST280000000000003 ,2013,  M01   ,8.9
 LASST280000000000003 ,2012,  M01   ,9.2
 LASST280000000000003 ,2011,  M01   ,10.1
 LASST280000000000003 ,2010,  M01   ,10.8
 LASST290000000000003 ,2019,  M01   ,3.2
 LASST290000000000003 ,2018,  M01   ,3.4
 LASST290000000000003 ,2017,  M01   ,4.1
 LASST290000000000003 ,2016,  M01   ,4.4
 LASST290000000000003 ,2015,  M01   ,5.5
 LASST290000000000003 ,2014,  M01   ,6.7
 LASST290000000000003 ,2013,  M01   ,6.9
 LASST290000000000003 ,2012,  M01   ,7.4
 LASST290000000000003 ,2011,  M01   ,9.3
 LASST290000000000003 ,2010,  M01   ,9.8
 LASST300000000000003 ,2019,  M01   ,3.5
 LASST300000000000003 ,2018,  M01   ,3.8
 LASST300000000000003 ,2017,  M01   ,4
 LASST300000000000003 ,2016,  M01   ,4.2
 LASST300000000000003 ,2015,  M01   ,4.3
 LASST300000000000003 ,2014,  M01   ,5
 LASST300000000000003 ,2013,  M01   ,5.6
 LASST300000000000003 ,2012,  M01   ,6.3
 LASST300000000000003 ,2011,  M01   ,7.3
 LASST300000000000003 ,2010,  M01   ,7.3
 LASST310000000000003 ,2019,  M01   ,3
 LASST310000000000003 ,2018,  M01   ,2.9
 LASST310000000000003 ,2017,  M01   ,3
 LASST310000000000003 ,2016,  M01   ,3
 LASST310000000000003 ,2015,  M01   ,2.9
 LASST310000000000003 ,2014,  M01   ,3.5
 LASST310000000000003 ,2013,  M01   ,3.9
 LASST310000000000003 ,2012,  M01   ,4.1
 LASST310000000000003 ,2011,  M01   ,4.5
 LASST310000000000003 ,2010,  M01   ,4.9
 LASST320000000000003 ,2019,  M01   ,4.2
 LASST320000000000003 ,2018,  M01   ,4.7
 LASST320000000000003 ,2017,  M01   ,5.2
 LASST320000000000003 ,2016,  M01   ,6.2
 LASST320000000000003 ,2015,  M01   ,7.2
 LASST320000000000003 ,2014,  M01   ,8.6
 LASST320000000000003 ,2013,  M01   ,10.4
 LASST320000000000003 ,2012,  M01   ,12
 LASST320000000000003 ,2011,  M01   ,13.5
 LASST320000000000003 ,2010,  M01   ,13
 LASST330000000000003 ,2019,  M01   ,2.5
 LASST330000000000003 ,2018,  M01   ,2.7
 LASST330000000000003 ,2017,  M01   ,2.8
 LASST330000000000003 ,2016,  M01   ,2.9
 LASST330000000000003 ,2015,  M01   ,3.8
 LASST330000000000003 ,2014,  M01   ,4.7
 LASST330000000000003 ,2013,  M01   ,5.5
 LASST330000000000003 ,2012,  M01   ,5.4
 LASST330000000000003 ,2011,  M01   ,5.4
 LASST330000000000003 ,2010,  M01   ,6.3
 LASST340000000000003 ,2019,  M01   ,3.7
 LASST340000000000003 ,2018,  M01   ,4.5
 LASST340000000000003 ,2017,  M01   ,4.6
 LASST340000000000003 ,2016,  M01   ,5
 LASST340000000000003 ,2015,  M01   ,6.5
 LASST340000000000003 ,2014,  M01   ,7.2
 LASST340000000000003 ,2013,  M01   ,9
 LASST340000000000003 ,2012,  M01   ,9.2
 LASST340000000000003 ,2011,  M01   ,9.4
 LASST340000000000003 ,2010,  M01   ,9.8
 LASST350000000000003 ,2019,  M01   ,5
 LASST350000000000003 ,2018,  M01   ,5.2
 LASST350000000000003 ,2017,  M01   ,6.4
 LASST350000000000003 ,2016,  M01   ,6.5
 LASST350000000000003 ,2015,  M01   ,6.4
 LASST350000000000003 ,2014,  M01   ,6.9
 LASST350000000000003 ,2013,  M01   ,7
 LASST350000000000003 ,2012,  M01   ,7.5
 LASST350000000000003 ,2011,  M01   ,7.7
 LASST350000000000003 ,2010,  M01   ,8
 LASST360000000000003 ,2019,  M01   ,4
 LASST360000000000003 ,2018,  M01   ,4.5
 LASST360000000000003 ,2017,  M01   ,4.7
 LASST360000000000003 ,2016,  M01   ,4.9
 LASST360000000000003 ,2015,  M01   ,5.7
 LASST360000000000003 ,2014,  M01   ,7
 LASST360000000000003 ,2013,  M01   ,8.1
 LASST360000000000003 ,2012,  M01   ,8.6
 LASST360000000000003 ,2011,  M01   ,8.3
 LASST360000000000003 ,2010,  M01   ,8.9
 LASST370000000000003 ,2019,  M01   ,4
 LASST370000000000003 ,2018,  M01   ,4.2
 LASST370000000000003 ,2017,  M01   ,4.9
 LASST370000000000003 ,2016,  M01   ,5.3
 LASST370000000000003 ,2015,  M01   ,5.7
 LASST370000000000003 ,2014,  M01   ,6.8
 LASST370000000000003 ,2013,  M01   ,8.9
 LASST370000000000003 ,2012,  M01   ,9.6
 LASST370000000000003 ,2011,  M01   ,10.4
 LASST370000000000003 ,2010,  M01   ,11.4
 LASST380000000000003 ,2019,  M01   ,2.3
 LASST380000000000003 ,2018,  M01   ,2.7
 LASST380000000000003 ,2017,  M01   ,2.8
 LASST380000000000003 ,2016,  M01   ,3.1
 LASST380000000000003 ,2015,  M01   ,2.6
 LASST380000000000003 ,2014,  M01   ,2.7
 LASST380000000000003 ,2013,  M01   ,3.1
 LASST380000000000003 ,2012,  M01   ,3.2
 LASST380000000000003 ,2011,  M01   ,3.5
 LASST380000000000003 ,2010,  M01   ,4
 LASST390000000000003 ,2019,  M01   ,4.3
 LASST390000000000003 ,2018,  M01   ,4.5
 LASST390000000000003 ,2017,  M01   ,5.2
 LASST390000000000003 ,2016,  M01   ,5
 LASST390000000000003 ,2015,  M01   ,5.1
 LASST390000000000003 ,2014,  M01   ,6.6
 LASST390000000000003 ,2013,  M01   ,7.5
 LASST390000000000003 ,2012,  M01   ,7.8
 LASST390000000000003 ,2011,  M01   ,9.3
 LASST390000000000003 ,2010,  M01   ,11.1
 LASST400000000000003 ,2019,  M01   ,3.3
 LASST400000000000003 ,2018,  M01   ,3.9
 LASST400000000000003 ,2017,  M01   ,4.6
 LASST400000000000003 ,2016,  M01   ,4.6
 LASST400000000000003 ,2015,  M01   ,4.2
 LASST400000000000003 ,2014,  M01   ,5
 LASST400000000000003 ,2013,  M01   ,5.3
 LASST400000000000003 ,2012,  M01   ,5.5
 LASST400000000000003 ,2011,  M01   ,6.2
 LASST400000000000003 ,2010,  M01   ,7.1
 LASST410000000000003 ,2019,  M01   ,4.2
 LASST410000000000003 ,2018,  M01   ,4.1
 LASST410000000000003 ,2017,  M01   ,4.2
 LASST410000000000003 ,2016,  M01   ,5.1
 LASST410000000000003 ,2015,  M01   ,6
 LASST410000000000003 ,2014,  M01   ,7.3
 LASST410000000000003 ,2013,  M01   ,8.5
 LASST410000000000003 ,2012,  M01   ,9.1
 LASST410000000000003 ,2011,  M01   ,9.9
 LASST410000000000003 ,2010,  M01   ,10.9
 LASST420000000000003 ,2019,  M01   ,4.1
 LASST420000000000003 ,2018,  M01   ,4.6
 LASST420000000000003 ,2017,  M01   ,5.2
 LASST420000000000003 ,2016,  M01   ,5.2
 LASST420000000000003 ,2015,  M01   ,5.4
 LASST420000000000003 ,2014,  M01   ,6.5
 LASST420000000000003 ,2013,  M01   ,7.9
 LASST420000000000003 ,2012,  M01   ,7.7
 LASST420000000000003 ,2011,  M01   ,7.9
 LASST420000000000003 ,2010,  M01   ,8.7
 LASST440000000000003 ,2019,  M01   ,3.7
 LASST440000000000003 ,2018,  M01   ,4.3
 LASST440000000000003 ,2017,  M01   ,4.5
 LASST440000000000003 ,2016,  M01   ,5.4
 LASST440000000000003 ,2015,  M01   ,6.6
 LASST440000000000003 ,2014,  M01   ,8.8
 LASST440000000000003 ,2013,  M01   ,9.5
 LASST440000000000003 ,2012,  M01   ,11.2
 LASST440000000000003 ,2011,  M01   ,11
 LASST440000000000003 ,2010,  M01   ,11.1
 LASST450000000000003 ,2019,  M01   ,3.4
 LASST450000000000003 ,2018,  M01   ,3.9
 LASST450000000000003 ,2017,  M01   ,4.5
 LASST450000000000003 ,2016,  M01   ,5.4
 LASST450000000000003 ,2015,  M01   ,6.5
 LASST450000000000003 ,2014,  M01   ,6.4
 LASST450000000000003 ,2013,  M01   ,8.4
 LASST450000000000003 ,2012,  M01   ,9.8
 LASST450000000000003 ,2011,  M01   ,10.7
 LASST450000000000003 ,2010,  M01   ,11.7
 LASST460000000000003 ,2019,  M01   ,3.1
 LASST460000000000003 ,2018,  M01   ,3.2
 LASST460000000000003 ,2017,  M01   ,3.1
 LASST460000000000003 ,2016,  M01   ,2.9
 LASST460000000000003 ,2015,  M01   ,3.3
 LASST460000000000003 ,2014,  M01   ,3.6
 LASST460000000000003 ,2013,  M01   ,4
 LASST460000000000003 ,2012,  M01   ,4.4
 LASST460000000000003 ,2011,  M01   ,5
 LASST460000000000003 ,2010,  M01   ,5.1
 LASST470000000000003 ,2019,  M01   ,3.4
 LASST470000000000003 ,2018,  M01   ,3.6
 LASST470000000000003 ,2017,  M01   ,4.5
 LASST470000000000003 ,2016,  M01   ,4.8
 LASST470000000000003 ,2015,  M01   ,6.2
 LASST470000000000003 ,2014,  M01   ,6.8
 LASST470000000000003 ,2013,  M01   ,7.9
 LASST470000000000003 ,2012,  M01   ,7.9
 LASST470000000000003 ,2011,  M01   ,9.5
 LASST470000000000003 ,2010,  M01   ,10.4
 LASST480000000000003 ,2019,  M01   ,3.7
 LASST480000000000003 ,2018,  M01   ,4
 LASST480000000000003 ,2017,  M01   ,4.7
 LASST480000000000003 ,2016,  M01   ,4.4
 LASST480000000000003 ,2015,  M01   ,4.5
 LASST480000000000003 ,2014,  M01   ,5.7
 LASST480000000000003 ,2013,  M01   ,6.5
 LASST480000000000003 ,2012,  M01   ,7.1
 LASST480000000000003 ,2011,  M01   ,8
 LASST480000000000003 ,2010,  M01   ,8.3
 LASST490000000000003 ,2019,  M01   ,2.9
 LASST490000000000003 ,2018,  M01   ,3.1
 LASST490000000000003 ,2017,  M01   ,3.3
 LASST490000000000003 ,2016,  M01   ,3.6
 LASST490000000000003 ,2015,  M01   ,3.6
 LASST490000000000003 ,2014,  M01   ,4.1
 LASST490000000000003 ,2013,  M01   ,5
 LASST490000000000003 ,2012,  M01   ,5.9
 LASST490000000000003 ,2011,  M01   ,7.5
 LASST490000000000003 ,2010,  M01   ,7.9
 LASST500000000000003 ,2019,  M01   ,2.4
 LASST500000000000003 ,2018,  M01   ,2.7
 LASST500000000000003 ,2017,  M01   ,3.1
 LASST500000000000003 ,2016,  M01   ,3.3
 LASST500000000000003 ,2015,  M01   ,3.8
 LASST500000000000003 ,2014,  M01   ,4.1
 LASST500000000000003 ,2013,  M01   ,4.6
 LASST500000000000003 ,2012,  M01   ,5.1
 LASST500000000000003 ,2011,  M01   ,5.8
 LASST500000000000003 ,2010,  M01   ,6.3
 LASST510000000000003 ,2019,  M01   ,3
 LASST510000000000003 ,2018,  M01   ,3.3
 LASST510000000000003 ,2017,  M01   ,4
 LASST510000000000003 ,2016,  M01   ,4.1
 LASST510000000000003 ,2015,  M01   ,4.9
 LASST510000000000003 ,2014,  M01   ,5.5
 LASST510000000000003 ,2013,  M01   ,5.8
 LASST510000000000003 ,2012,  M01   ,6.3
 LASST510000000000003 ,2011,  M01   ,6.7
 LASST510000000000003 ,2010,  M01   ,7.4
 LASST530000000000003 ,2019,  M01   ,4.5
 LASST530000000000003 ,2018,  M01   ,4.6
 LASST530000000000003 ,2017,  M01   ,4.9
 LASST530000000000003 ,2016,  M01   ,5.5
 LASST530000000000003 ,2015,  M01   ,5.8
 LASST530000000000003 ,2014,  M01   ,6.5
 LASST530000000000003 ,2013,  M01   ,7.4
 LASST530000000000003 ,2012,  M01   ,8.6
 LASST530000000000003 ,2011,  M01   ,9.6
 LASST530000000000003 ,2010,  M01   ,10.4
 LASST540000000000003 ,2019,  M01   ,4.9
 LASST540000000000003 ,2018,  M01   ,5.4
 LASST540000000000003 ,2017,  M01   ,5.3
 LASST540000000000003 ,2016,  M01   ,6.4
 LASST540000000000003 ,2015,  M01   ,6.6
 LASST540000000000003 ,2014,  M01   ,6.9
 LASST540000000000003 ,2013,  M01   ,7.3
 LASST540000000000003 ,2012,  M01   ,7.4
 LASST540000000000003 ,2011,  M01   ,8.7
 LASST540000000000003 ,2010,  M01   ,8.6
 LASST550000000000003 ,2019,  M01   ,3.1
 LASST550000000000003 ,2018,  M01   ,3
 LASST550000000000003 ,2017,  M01   ,3.6
 LASST550000000000003 ,2016,  M01   ,4.3
 LASST550000000000003 ,2015,  M01   ,4.8
 LASST550000000000003 ,2014,  M01   ,6.1
 LASST550000000000003 ,2013,  M01   ,7
 LASST550000000000003 ,2012,  M01   ,7.2
 LASST550000000000003 ,2011,  M01   ,8
 LASST550000000000003 ,2010,  M01   ,9.3
